loci_name,name,id,chr,chr_order,library,adjacent_genes_10kb_tss,adjacent_genes_50kb_tss,adjacent_genes_100kb_tss,adjacent_genes_200kb_tss,adjacent_genes_500kb_tss,adjacent_genes_1000kb_tss,adjacent_genes_1500kb_tss,adjacent_genes_2000kb_tss
chr2_71250786_71259961,2:71250786-71259961,107,2,53.0,CTP11,intergenic,Dync1i2,Dync1i2,Cybrd1; Dcaf17; Dync1i2; Gm13642; Hat1; Metap1d; Mettl8; Slc25a12,Cybrd1; Dcaf17; Dlx1; Dlx1as; Dlx2; Dync1i2; Gm13642; Hat1; Itga6; Metap1d; Mettl8; Slc25a12; Tlk1,Cybrd1; Dcaf17; Dlx1; Dlx1as; Dlx2; Dync1i2; Erich2; Gad1; Gad1os; Gm13642; Gorasp2; Hat1; Itga6; Metap1d; Mettl8; Pdk1; Rapgef4; Rpl9-ps7; Slc25a12; Sp5; Tlk1,Ak3l2-ps; Ccdc173; Cdca7; Cybrd1; Dcaf17; Dlx1; Dlx1as; Dlx2; Dync1i2; Eif1-ps3; Erich2; Gad1; Gad1os; Gm13623; Gm13624; Gm13642; Gorasp2; Hat1; Itga6; Klhl23; Metap1d; Mettl5; Mettl8; Myo3b; Pdk1; Pex13-ps; Phospho2; Rapgef4; Rpl9-ps7; Slc25a12; Sp5; Ssb; Tlk1; Ubr3,6430710C18Rik; Abcb11; Ak3l2-ps; Bbs5; Ccdc173; Cdca7; Cybrd1; Dcaf17; Dlx1; Dlx1as; Dlx2; Dync1i2; Eif1-ps3; Erich2; Fastkd1; Gad1; Gad1os; Gm13623; Gm13624; Gm13642; Gm13665; Gm13666; Gorasp2; Hat1; Hspe1-ps5; Itga6; Klhl23; Klhl41; Lrp2; Metap1d; Mettl5; Mettl8; Myo3b; Ola1; Pdk1; Pex13-ps; Phospho2; Ppig; Rapgef4; Rpl9-ps7; Slc25a12; Sp3; Sp3os; Sp5; Ssb; Tlk1; Ubr3
chr2_73279227_73292008,2:73279227-73292008,102,2,54.0,CTP13,Sp9,Cir1; Scrn3; Sp9,Cir1; Gm13709; Gpr155; Ola1; Scrn3; Sp9,Cir1; Gm13665; Gm13666; Gm13707; Gm13709; Gpr155; Ola1; Scrn3; Sp9,6430710C18Rik; Chn1; Chn1os3; Chrna1; Cir1; Gm13665; Gm13666; Gm13707; Gm13709; Gpr155; Hspe1-ps5; Ola1; Scrn3; Sp3; Sp3os; Sp9; Wipf1,6430710C18Rik; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Eif1-ps3; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gpr155; Hspe1-ps5; Ola1; Pex13-ps; Scrn3; Sp3; Sp3os; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Eif1-ps3; Evx2; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gpr155; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Mrpl23-ps1; Ola1; Pdk1; Pex13-ps; Rapgef4; Scrn3; Sp3; Sp3os; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Dlx1; Dlx1as; Dlx2; Eif1-ps3; Evx2; Gm13642; Gm13652; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gm14425; Gm14427; Gpr155; Hat1; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Itga6; Metap1d; Mrpl23-ps1; Mtx2; Ola1; Pdk1; Pex13-ps; Rapgef4; Scrn3; Slc25a12; Sp3; Sp3os; Sp9; Wipf1
chr2_73741710_73759607,2:73741710-73759607,108,2,55.0,CTP11,intergenic,Chn1,Chn1,Atf2; Atp5g3; Chn1; Chn1os3; Chrna1,Atf2; Atp5g3; Chn1; Chn1os3; Chrna1; Cir1; Gm13668; Gm13707; Gm13709; Gpr155; Scrn3; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Atf2; Atp5g3; Chn1; Chn1os3; Chrna1; Cir1; Evx2; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gpr155; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Mrpl23-ps1; Ola1; Scrn3; Sp3; Sp3os; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Eif1-ps3; Evx2; Gm13652; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gm14425; Gm14427; Gpr155; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Mrpl23-ps1; Mtx2; Ola1; Pex13-ps; Scrn3; Sp3; Sp3os; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Eif1-ps3; Evx2; Gm13652; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gm14425; Gm14427; Gm18494; Gpr155; Hnrnpa3; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Itga6; Mrpl23-ps1; Mtx2; Nfe2l2; Ola1; Pdk1; Pex13-ps; Rapgef4; Scrn3; Sp3; Sp3os; Sp9; Wipf1
chr2_74136673_74146376,2:74136673-74146376,103,2,56.0,CTP13,intergenic,intergenic,intergenic,4930441J16Rik; Gm13668,4930441J16Rik; Atf2; Atp5g3; Chn1; Gm13668; Mrpl23-ps1,4930441J16Rik; Atf2; Atp5g3; Chn1; Chn1os3; Chrna1; Cir1; Evx2; Gm13652; Gm13668; Gm13707; Gm13709; Gm14425; Gm14427; Gpr155; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Mrpl23-ps1; Mtx2; Ola1; Scrn3; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Atf2; Atp5g3; Chn1; Chn1os3; Chrna1; Cir1; Evx2; Gm13652; Gm13665; Gm13666; Gm13668; Gm13707; Gm13709; Gm14425; Gm14427; Gm18494; Gpr155; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Mrpl23-ps1; Mtx2; Ola1; Scrn3; Sp3; Sp3os; Sp9; Wipf1,4930441J16Rik; 6430710C18Rik; Agps; Ak3l2-ps; Atf2; Atp5g3; Cdca7; Chn1; Chn1os3; Chrna1; Cir1; Eif1-ps3; Evx2; Gm13652; Gm13657; Gm13665; Gm13666; Gm13668; Gm13669; Gm13707; Gm13709; Gm14425; Gm14427; Gm18494; Gpr155; Hnrnpa3; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Hspe1-ps5; Mrpl23-ps1; Mtx2; Nfe2l2; Ola1; Pex13-ps; Scrn3; Sp3; Sp3os; Sp9; Ttc30a1; Ttc30a2; Ttc30b; Wipf1
chr2_75780722_75791983,2:75780722-75791983,104,2,57.0,CTP13,Gm13657,Agps; Gm13657; Gm13669,Agps; Gm13657; Gm13669; Nfe2l2,Agps; Gm13657; Gm13669; Hnrnpa3; Nfe2l2; Ttc30a1; Ttc30a2; Ttc30b,Agps; Gm13657; Gm13669; Gm18494; Hnrnpa3; Nfe2l2; Ttc30a1; Ttc30a2; Ttc30b,Agps; Cyct; Fkbp7; Gm13652; Gm13657; Gm13669; Gm14425; Gm14427; Gm18494; Hnrnpa3; Mtx2; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Ttc30a1; Ttc30a2; Ttc30b,4930441J16Rik; Agps; Ccdc141; Cyct; Evx2; Fkbp7; Gm13651; Gm13652; Gm13657; Gm13669; Gm14425; Gm14427; Gm18494; Hnrnpa3; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Mrpl23-ps1; Mtx2; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn,4930441J16Rik; Agps; Atf2; Atp5g3; Ccdc141; Cyct; Evx2; Fkbp7; Gm13649; Gm13651; Gm13652; Gm13657; Gm13668; Gm13669; Gm13944; Gm14425; Gm14427; Gm18494; Hnrnpa3; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Mrpl23-ps1; Mtx2; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn
chr2_76251505_76259935,2:76251505-76259935,109,2,58.0,CTP11,intergenic,intergenic,Pde11a,Cyct; Osbpl6; Pde11a; Rbm45,Agps; Cyct; Fkbp7; Gm13657; Gm13669; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Ttc30a1; Ttc30a2; Ttc30b,Agps; Ccdc141; Cyct; Fkbp7; Gm13657; Gm13669; Gm18494; Hnrnpa3; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Ttc30a1; Ttc30a2; Ttc30b; Ttn,Agps; Ccdc141; Cyct; Fkbp7; Gm13649; Gm13651; Gm13652; Gm13657; Gm13669; Gm13944; Gm14425; Gm14427; Gm18494; Hnrnpa3; Mtx2; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn,4930440I19Rik; 4930441J16Rik; Agps; Ccdc141; Cwc22; Cyct; Evx2; Fkbp7; Gm13649; Gm13651; Gm13652; Gm13657; Gm13669; Gm13944; Gm14425; Gm14427; Gm14461; Gm18494; Hnrnpa3; Hoxd10; Hoxd11; Hoxd13; Hoxd9; Mrpl23-ps1; Mtx2; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn; Zfp385b
chr2_77052286_77062010,2:77052286-77062010,105,2,59.0,CTP13,intergenic,intergenic,Ttn,Ccdc141; Ttn,Ccdc141; Fkbp7; Gm13649; Gm13651; Gm13944; Plekha3; Prkra; Sestd1; Ttn,4930440I19Rik; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13944; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttn; Zfp385b,4930440I19Rik; Agps; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13657; Gm13669; Gm13944; Gm14460; Gm14461; Hnrnpa3; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn; Zfp385b,4930440I19Rik; Agps; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13652; Gm13657; Gm13669; Gm13944; Gm14460; Gm14461; Gm17014; Gm18494; Hnrnpa3; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn; Ube2e3; Zfp385b
chr2_77323934_77334696,2:77323934-77334696,106,2,60.0,CTP13,Gm13649,Gm13649; Gm13651; Sestd1,Gm13649; Gm13651; Sestd1,Ccdc141; Gm13649; Gm13651; Gm13944; Sestd1,Ccdc141; Gm13649; Gm13651; Gm13944; Sestd1; Ttn; Zfp385b,4930440I19Rik; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13944; Gm14461; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttn; Zfp385b,4930440I19Rik; Agps; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13944; Gm14460; Gm14461; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn; Zfp385b,4930440I19Rik; Agps; Ccdc141; Cwc22; Cyct; Fkbp7; Gm13649; Gm13651; Gm13657; Gm13669; Gm13944; Gm14460; Gm14461; Gm14465; Gm17014; Hnrnpa3; Itga4; Nfe2l2; Osbpl6; Pde11a; Plekha3; Prkra; Rbm45; Sestd1; Ttc30a1; Ttc30a2; Ttc30b; Ttn; Ube2e3; Zfp385b
chr2_78750479_78760001,2:78750479-78760001,110,2,61.0,CTP11,intergenic,intergenic,Gm17014,Gm17014; Ube2e3,Gm14460; Gm14465; Gm17014; Itga4; Ube2e3,4930440I19Rik; Cerkl; Cwc22; Gm13673; Gm14460; Gm14461; Gm14465; Gm17014; Itga4; Neurod1; Ppp1r1c; Ube2e3; Zfp385b,4930440I19Rik; Cerkl; Cwc22; Gm13649; Gm13651; Gm13673; Gm13674; Gm13944; Gm14460; Gm14461; Gm14465; Gm17014; Itga4; Neurod1; Pde1a; Ppp1r1c; Sestd1; Ube2e3; Zfp385b,4930440I19Rik; Ccdc141; Cerkl; Cwc22; Dnajc10; Dusp19; Frzb; Gm13649; Gm13651; Gm13673; Gm13674; Gm13687; Gm13688; Gm13689; Gm13690; Gm13944; Gm14460; Gm14461; Gm14465; Gm17014; Itga4; Nckap1; Neurod1; Nup35; Pde1a; Ppp1r1c; Prdx6b; Sestd1; Ttn; Ube2e3; Zfp385b
chr2_81240010_81259840,2:81240010-81259840,111,2,62.0,CTP11,intergenic,intergenic,intergenic,intergenic,Gm13700; Gm4735,Dnajc10; Dusp19; Frzb; Gm13677; Gm13687; Gm13688; Gm13689; Gm13690; Gm13700; Gm4735; Nckap1; Nup35; Prdx6b; Zfp804a,A130030D18Rik; Dnajc10; Dusp19; Frzb; Gm13674; Gm13675; Gm13676; Gm13677; Gm13687; Gm13688; Gm13689; Gm13690; Gm13700; Gm4735; Nckap1; Nup35; Pde1a; Prdx6b; Zfp804a,A130030D18Rik; Cerkl; Dnajc10; Dusp19; Frzb; Fsip2; Gm13673; Gm13674; Gm13675; Gm13676; Gm13677; Gm13687; Gm13688; Gm13689; Gm13690; Gm13700; Gm4735; Itga4; Nckap1; Neurod1; Nup35; Pde1a; Ppp1r1c; Prdx6b; Zfp804a
chr2_83746826_83759988,2:83746826-83759988,112,2,63.0,CTP11,Dnmt3l-ps1,Dnmt3l-ps1; Itgav,Dnmt3l-ps1; Fam171b; Itgav,Dnmt3l-ps1; Fam171b; Itgav; Zc3h15; Zswim2,Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Itgav; Zc3h15; Zswim2,Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13679; Gm13680; Gm13683; Gm13710; Gm19426; Itgav; Med19; Mir130a; Tfpi; Tmx2; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; A130030D18Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13675; Gm13676; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; A130030D18Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13675; Gm13676; Gm13677; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zfp804a; Zswim2
chr2_83741006_83766137,2:83741006-83766137,107,2,64.0,CTP13,Dnmt3l-ps1,Dnmt3l-ps1; Fam171b; Itgav,Dnmt3l-ps1; Fam171b; Itgav; Zc3h15,Dnmt3l-ps1; Fam171b; Itgav; Zc3h15; Zswim2,Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Itgav; Zc3h15; Zswim2,Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13679; Gm13680; Gm13683; Gm13710; Gm19426; Itgav; Med19; Mir130a; Tfpi; Tmx2; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; A130030D18Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13675; Gm13676; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; A130030D18Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13675; Gm13676; Gm13677; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zfp804a; Zswim2
chr2_84538638_84551810,2:84538638-84551810,108,2,65.0,CTP13,Gm13710,Gm13710,Ctnnd1; Gm13710; Tfpi,Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm19426; Med19; Mir130a; Tfpi; Tmx2; Ypel4; Zdhhc5,Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm19426; Med19; Mir130a; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13676; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2
chr2_84845448_84886200,2:84845448-84886200,109,2,66.0,CTP13,Rtn4rl2; Slc43a1,Rtn4rl2; Slc43a1; Smtnl1; Timm10; Ube2l6,Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Timm10; Ube2l6,Btbd18; Clp1; Ctnnd1; Gm19426; Med19; Mir130a; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm13712; Gm13715; Gm19426; Lrrc55; Med19; Mir130a; Olfr987; Olfr988; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm13712; Gm13715; Gm19426; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Fsip2; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr1089; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2
chr2_85057051_85065646,2:85057051-85065646,111,2,67.0,CTP13,Tnks1bp1,4930443O20Rik; P2rx3; Ssrp1; Tnks1bp1,4930443O20Rik; Aplnr; Gm13712; P2rx3; Ssrp1; Tnks1bp1,4930443O20Rik; Aplnr; Gm13712; Gm13715; Lrrc55; P2rx3; Rtn4rl2; Slc43a3; Ssrp1; Tnks1bp1,4930443O20Rik; Aplnr; Btbd18; Clp1; Ctnnd1; Gm13712; Gm13715; Gm19426; Lrrc55; Med19; Mir130a; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm13712; Gm13715; Gm19426; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr1089; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2
chr2_85243976_85252721,2:85243976-85252721,112,2,68.0,CTP13,intergenic,Gm13715; Lrrc55,Gm13712; Gm13715; Lrrc55; Olfr987,4930443O20Rik; Aplnr; Gm13712; Gm13715; Lrrc55; Olfr987; Olfr988; Olfr990-ps1; Tnks1bp1,4930443O20Rik; Aplnr; Gm13712; Gm13715; Lrrc55; Olfr1005-ps1; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Timm10; Tnks1bp1; Ube2l6,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Gm13710; Gm13712; Gm13715; Gm13722; Gm19426; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm19426; Lrrc55; Med19; Mir130a; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr1089; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zdhhc5; Zswim2,4930443O20Rik; Aplnr; Btbd18; Calcrl; Clp1; Ctnnd1; Dnmt3l-ps1; Fam171b; Gm13679; Gm13680; Gm13683; Gm13710; Gm13712; Gm13715; Gm13719; Gm13722; Gm13730; Gm13733; Gm13735; Gm19426; Itgav; Lrrc55; Med19; Mir130a; Nlk-ps1; Olfr1005-ps1; Olfr1030; Olfr1033; Olfr1089; Olfr987; Olfr988; Olfr990-ps1; P2rx3; Rtn4rl2; Serping1; Slc43a1; Slc43a3; Smtnl1; Ssrp1; Tfpi; Timm10; Tmx2; Tnks1bp1; Ube2l6; Ypel4; Zc3h15; Zdhhc5; Zswim2
