,gene,chr,start,end
4680,Cfap74,chr4,155409189,155466823
4681,Cfap77,chr2,28926948,29055066
4682,Cfap97,chr8,46151770,46195590
4683,Cfb,chr17,34856373,34862518
4684,Cfc1,chr1,34535647,34544313
4685,Cfd,chr10,79890852,79892656
4686,Cfdp1,chr8,111768472,111854310
4687,Cfh,chr1,140084707,140183764
4688,Cfhr1,chr1,139547052,139560272
4689,Cfhr2,chr1,139804166,139858702
4690,Cfi,chr3,129835883,129875332
4691,Cfl2,chr12,54858816,54862877
4692,Cflar,chr1,58711507,58758884
4693,Cfp,chrX,20925453,20931555
4694,Cftr,chr6,18170686,18322768
4695,Cga,chr4,34893778,34907370
4696,Cggbp1,chr16,64851995,64859507
4697,Cgn,chr3,94760068,94786492
4698,Cgnl1,chr9,71626508,71771602
4699,Cgref1,chr5,30933142,30945591
4700,Cgrrf1,chr14,46832133,46854193
4701,Ch25h,chr19,34473785,34475135
4702,Chac1,chr2,119351228,119354381
4703,Chac2,chr11,30976706,30986350
4704,Chad,chr11,94565046,94569127
4705,Chadl,chr15,81678295,81697287
4706,Chaf1a,chr17,56040415,56068026
4707,Chaf1b,chr16,93883900,93906115
4708,Champ1,chr8,13869640,13881639
4709,Chat,chr14,32408202,32465909
4710,Chchd1,chr14,20703026,20704417
4711,Chchd10,chr10,75935572,75937725
4712,Chchd2,chr5,129881155,129887470
4713,Chchd3,chr6,32790975,33060260
4714,Chchd4,chr6,91462171,91473546
4715,Chchd5,chr2,129129699,129134134
4716,Chchd6,chr6,89383145,89595652
4717,Chchd7,chr4,3938887,3951046
4718,Chd1,chr17,15704966,17394898
4719,Chd1l,chr3,97560741,97610203
4720,Chd2,chr7,73426637,73541830
4721,Chd3,chr11,69343272,69369406
4722,Chd3os,chr11,69340460,69342641
4723,Chd4,chr6,125095980,125130591
4724,Chd5,chr4,152338650,152390194
4725,Chd6,chr2,160946977,161109075
4726,Chd7,chr4,8690405,8867659
4727,Chd8,chr14,52198150,52257723
4728,Chd9,chr8,90828351,91054516
4729,Chdh,chr14,30009022,30040466
4730,Chek1,chr9,36708481,36727065
4731,Chek2,chr5,110839978,110874145
4732,Cherp,chr8,72460488,72475233
4733,Chfr,chr5,110135841,110171972
4734,Chga,chr12,102554968,102565027
4735,Chgb,chr2,132781277,132795079
4736,Chia1,chr3,106113228,106132120
4737,Chic1,chrX,103356475,103396092
4738,Chic2,chr5,74997987,75044774
4739,Chid1,chr7,141493135,141539857
4740,Chil1,chr1,134182175,134190181
4741,Chil3,chr3,106147553,106167564
4742,Chil4,chr3,106201489,106219507
4743,Chil5,chr3,106016918,106032814
4744,Chil6,chr3,106387383,106406182
4745,Chit1,chr1,134111241,134151540
4746,Chka,chr19,3851772,3894369
4747,Chkb,chr15,89416404,89429908
4748,Chl1,chr6,103510585,103750211
4749,Chm,chrX,113040592,113185517
4750,Chml,chr1,175682236,175692901
4751,Chmp1a,chr8,123204263,123212763
4752,Chmp2a,chr7,13032009,13034807
4753,Chmp2b,chr16,65539132,65562697
4754,Chmp3,chr6,71543796,71582609
4755,Chmp4b,chr2,154651704,154694785
4756,Chmp4c,chr3,10366906,10428856
4757,Chmp5,chr4,40948406,40965303
4758,Chmp6,chr11,119913440,119919548
4759,Chmp7,chr14,69716978,69732570
4760,Chn1,chr2,73610659,73775346
4761,Chn1os3,chr2,73596525,73616012
4762,Chn2,chr6,54039553,54301810
4763,Chodl,chr16,78930947,78951733
4764,Chordc1,chr9,18292266,18314000
4765,Chp1,chr2,119547696,119587027
4766,Chp2,chr7,122219495,122222824
4767,Chpf,chr1,75474568,75479307
4768,Chpf2,chr5,24586740,24594556
4769,Chpt1,chr10,88452744,88504073
4770,Chrac1,chr15,73090391,73097554
4771,Chrd,chr16,20733126,20742384
4772,Chrdl1,chrX,143285673,143394262
4773,Chrdl2,chr7,100006171,100034728
4774,Chrm1,chr19,8663788,8683587
4775,Chrm2,chr6,36388083,36528414
4776,Chrm3,chr13,9875485,10360844
4777,Chrm4,chr2,91927248,91928688
4778,Chrm5,chr2,112479170,112480769
4779,Chrna1,chr2,73563214,73580338
4780,Chrna10,chr7,102111265,102116828
4781,Chrna1os,chr2,73584849,73589208
4782,Chrna2,chr14,66135038,66152948
4783,Chrna3,chr9,55011342,55026559
4784,Chrna4,chr2,181018379,181043546
4785,Chrna5,chr9,54980879,55007779
4786,Chrna6,chr8,27403211,27413944
4787,Chrna7,chr7,63098691,63212569
4788,Chrna9,chr5,65934920,65977326
4789,Chrnb1,chr11,69784035,69795943
4790,Chrnb2,chr3,89746194,89764632
4791,Chrnb3,chr8,27368710,27399730
4792,Chrnb4,chr9,55028155,55048544
4793,Chrnd,chr1,87190606,87200070
4794,Chrne,chr11,70614882,70619216
4795,Chrng,chr1,87204656,87212694
4796,Chst1,chr2,92599706,92615250
4797,Chst10,chr1,38863866,38898161
4798,Chst11,chr10,82985497,83195900
4799,Chst12,chr5,140505549,140525724
4800,Chst14,chr2,118926495,118928585
4801,Chst15,chr7,132235779,132317228
4802,Chst2,chr9,95399291,95406722
4803,Chst3,chr10,60181531,60219260
4804,Chst4,chr8,110029074,110039334
4805,Chst5,chr8,111889134,111910199
4806,Chst7,chrX,20059559,20097521
4807,Chst8,chr7,34674467,34812711
4808,Chst9,chr18,15451923,15760157
4809,Chsy1,chr7,66109514,66173798
4810,Chsy3,chr18,59175400,59410446
4811,Chtf18,chr17,25718925,25727419
4812,Chtf8,chr8,106883862,106893601
4813,Chtop,chr3,90498955,90509498
4814,Chuk,chr19,44073334,44107480
4815,Churc1,chr12,76765537,76783180
4816,Ciao1,chr2,127240937,127247816
4817,Ciapin1,chr8,94819817,94838358
4818,Ciart,chr3,95878502,95882251
4819,Cib1,chr7,80227146,80232813
4820,Cib2,chr9,54544793,54560218
4821,Cib3,chr8,72204334,72212837
4822,Cib4,chr5,30485582,30545836
4823,Cic,chr7,25267703,25294159
4824,Cidea,chr18,67343563,67367794
4825,Cideb,chr14,55754044,55758458
4826,Cidec,chr6,113424633,113435760
4827,Ciita,chr16,10488177,10527564
4828,Cilp,chr9,65265179,65280605
4829,Cinp,chr12,110872609,110889145
4830,Cipc,chr12,86947042,86965362
4831,Cir1,chr2,73283104,73312701
4832,Cirbp,chr10,80165984,80172786
4833,Cirh1a,chr8,106893639,106923093
4834,Cisd1,chr10,71330479,71344954
4835,Cisd2,chr3,135406411,135423925
4836,Cisd3,chr11,97685825,97688621
4837,Cish,chr9,107296025,107302784
4838,Cit,chr5,115845277,116008947
4839,Cited1,chrX,102247380,102252181
4840,Cited2,chr10,17723227,17725673
4841,Cited4,chr4,120666571,120667820
4842,Ciz1,chr2,32352326,32380970
4843,Ckap2,chr8,22168159,22185819
4844,Ckap2l,chr2,129268209,129297212
4845,Ckap4,chr10,84526304,84534036
4846,Ckap5,chr2,91526761,91620664
4847,Ckb,chr12,111669354,111672338
4848,Cklf,chr8,104250902,104264936
4849,Ckm,chr7,19404775,19422841
4850,Ckmt1,chr2,121357713,121363737
4851,Ckmt2,chr13,91853386,91876885
4852,Cks1b,chr3,89415471,89418383
4853,Cks1brt,chr8,85151923,85173622
4854,Cks2,chr13,51645231,51650660
4855,Clasp1,chr1,118389057,118612678
4856,Clasp2,chr9,113812585,113919697
4857,Clasrp,chr7,19581034,19604486
4858,Clca1,chr3,145003816,145032776
4859,Clca2,chr3,145070262,145099443
4860,Clca3a1,chr3,144729676,144760977
4861,Clca3a2,chr3,144796558,144819494
4862,Clca3b,chr3,144822622,144849357
4863,Clca4a,chr3,144952479,144975045
4864,Clca4b,chr3,144910920,144932529
4865,Clca4c-ps,chr3,144861825,144896011
4866,Clcc1,chr3,108653912,108678840
4867,Clcf1,chr19,4214237,4223490
4868,Clcn1,chr6,42286684,42315756
4869,Clcn2,chr16,20702963,20717746
4870,Clcn3,chr8,60910388,60983300
4871,Clcn4,chr7,7282308,7300851
4872,Clcn5,chrX,7153809,7319358
4873,Clcn6,chr4,148004258,148038821
4874,Clcn7,chr17,25133390,25162104
4875,Clcnka,chr4,141384609,141398724
4876,Clcnkb,chr4,141404352,141416014
4877,Cldn1,chr16,26356641,26371841
4878,Cldn10,chr14,118787907,118875489
4879,Cldn11,chr3,31149919,31164324
4880,Cldn12,chr5,5489536,5514958
4881,Cldn13,chr5,134914248,134915526
4882,Cldn14,chr16,93919030,94008837
4883,Cldn15,chr5,136966615,136975858
4884,Cldn16,chr16,26463134,26482765
4885,Cldn17,chr16,88505806,88506978
4886,Cldn18,chr9,99689460,99717267
4887,Cldn19,chr4,119255413,119262438
4888,Cldn2,chrX,139800827,139811386
4889,Cldn20,chr17,3532553,3533213
4890,Cldn22,chr8,47824481,47825475
4891,Cldn23,chr8,35824711,35826559
4892,Cldn24,chr8,47822142,47822805
4893,Cldn3,chr5,134986213,134987472
4894,Cldn34a,chrX,152563333,152563969
4895,Cldn34b1,chrX,154886804,154890267
4896,Cldn34b2,chrX,155124916,155128412
4897,Cldn34b3,chrX,76264303,76267738
4898,Cldn34b4,chrX,76393349,76397979
4899,Cldn34c1,chrX,123103494,123188795
4900,Cldn34c4,chrX,127721181,127736554
4901,Cldn34d,chrX,76582609,76602924
4902,Cldn4,chr5,134945118,134946934
4903,Cldn5,chr16,18776846,18778260
4904,Cldn6,chr17,23679364,23682446
4905,Cldn7,chr11,69964778,69967885
4906,Cldn8,chr16,88560827,88563183
4907,Cldn9,chr17,23682583,23684018
4908,Cldnd1,chr16,58727909,58734251
4909,Cldnd2,chr7,43440781,43443334
4910,Clec10a,chr11,70156196,70170834
4911,Clec11a,chr7,44302686,44306902
4912,Clec12a,chr6,129342690,129365303
4913,Clec12b,chr6,129375514,129385874
4914,Clec14a,chr12,58264719,58269258
4915,Clec16a,chr16,10545338,10744878
4916,Clec18a,chr8,111058919,111092426
4917,Clec1a,chr6,129424771,129452000
4918,Clec1b,chr6,129397296,129409335
4919,Clec2d,chr6,129180614,129186534
4920,Clec2e,chr6,129091997,129100913
4921,Clec2f,chr6,129014111,129020527
4922,Clec2g,chr6,128934380,128984707
4923,Clec2h,chr6,128662384,128677374
4924,Clec2i,chr6,128887587,128898167
4925,Clec3a,chr8,114418085,114425846
4926,Clec3b,chr9,123150945,123157430
4927,Clec4a1,chr6,122921847,122934619
4928,Clec4a2,chr6,123106427,123143999
4929,Clec4a3,chr6,122952514,122969875
4930,Clec4a4,chr6,122990366,123024105
4931,Clec4b1,chr6,123049961,123071555
4932,Clec4b2,chr6,123172892,123204671
4933,Clec4d,chr6,123262110,123275265
4934,Clec4e,chr6,123281788,123289870
4935,Clec4f,chr6,83644541,83656187
4936,Clec4g,chr8,3707063,3720651
4937,Clec4n,chr6,123229842,123247021
4938,Clec5a,chr6,40574893,40585821
4939,Clec7a,chr6,129461590,129472779
4940,Clec9a,chr6,129408861,129424763
4941,Clgn,chr8,83389866,83428552
4942,Clhc1,chr11,29547949,29578367
4943,Clic1,chr17,35049965,35058749
4944,Clic3,chr2,25456837,25458776
4945,Clic4,chr4,135213968,135272814
4946,Clic5,chr17,44188571,44280168
4947,Clic6,chr16,92485735,92541243
4948,Clint1,chr11,45852050,45910625
4949,Clip1,chr5,123577794,123684618
4950,Clip2,chr5,134489382,134552434
4951,Clip3,chr7,30291727,30308367
4952,Clip4,chr17,71781946,71858351
4953,Clk1,chr1,58410188,58424066
4954,Clk2,chr3,89164794,89176921
4955,Clk3,chr9,57750710,57765860
4956,Clk4,chr11,51261729,51281766
4957,Clmn,chr12,104763113,104865076
4958,Clmp,chr9,40685961,40785319
4959,Cln3,chr7,126571206,126585817
4960,Cln5,chr14,103070215,103077579
4961,Cln6,chr9,62838784,62852006
4962,Cln8,chr8,14881334,14901720
4963,Clnk,chr5,38706461,38876812
4964,Clnkos,chr5,38735982,38747897
4965,Clns1a,chr7,97696633,97720796
4966,Clock,chr5,76209867,76304792
4967,Clp1,chr2,84722103,84727350
4968,Clpb,chr7,101663632,101795506
4969,Clpp,chr17,56990263,56996371
4970,Clps,chr17,28558209,28560766
4971,Clpsl2,chr17,28549488,28552618
4972,Clptm1,chr7,19631570,19665033
4973,Clptm1l,chr13,73604001,73620639
4974,Clpx,chr9,65294259,65330658
4975,Clrn1,chr3,58844027,58885340
4976,Clrn2,chr5,45453750,45464149
4977,Clrn3,chr7,135511465,135528654
4978,Clspn,chr4,126556934,126593903
4979,Clstn1,chr4,149586467,149648899
4980,Clstn2,chr9,97444394,98033181
4981,Clstn3,chr6,124430758,124464794
4982,Clta,chr4,44004451,44032846
4983,Cltb,chr13,54592400,54611344
4984,Cltc,chr11,86694350,86757565
4985,Clu,chr14,65968482,65981548
4986,Cluap1,chr16,3908800,3941147
4987,Cluh,chr11,74649494,74670847
4988,Clvs1,chr4,9269292,9451691
4989,Clvs2,chr10,33512285,33624769
4990,Clybl,chr14,122181693,122402232
4991,Cma1,chr14,55941452,55944661
4992,Cma2,chr14,55971427,55973995
4993,Cmah,chr13,24327419,24477285
4994,Cmas,chr6,142756685,142775714
4995,Cmbl,chr15,31568790,31590119
4996,Cmc1,chr9,118064528,118150196
4997,Cmc2,chr8,116888684,116921455
4998,Cmc4,chrX,75404845,75416584
4999,Cmip,chr8,117257018,117461503
5000,Cmklr1,chr5,113612353,113650426
5001,Cmpk1,chr4,114959335,114987241
5002,Cmpk2,chr12,26469203,26479835
5003,Cmss1,chr16,57302198,57606825
5004,Cmtm1,chr8,104281346,104310145
5005,Cmtm2a,chr8,104281041,104293178
5006,Cmtm2b,chr8,104322236,104330756
5007,Cmtm3,chr8,104340593,104347672
5008,Cmtm4,chr8,104348190,104395807
5009,Cmtm5,chr14,54936469,54939256
5010,Cmtm6,chr9,114731202,114749343
5011,Cmtm7,chr9,114756836,114781993
5012,Cmtm8,chr9,114789344,114844152
5013,Cmtr1,chr17,29660594,29705979
5014,Cmtr2,chr8,110215664,110224486
5015,Cmya5,chr13,93040712,93144724
5016,Cnbd2,chr2,156312298,156375638
5017,Cnbp,chr6,87842614,87851106
5018,Cndp1,chr18,84610508,84650084
5019,Cndp2,chr18,84667469,84685633
5020,Cnep1r1,chr8,88118768,88135110
5021,Cnfn,chr7,25367619,25369724
5022,Cnga1,chr5,72603695,72644275
5023,Cnga2,chrX,71991848,72010218
5024,Cnga3,chr1,37214433,37263384
5025,Cnga4,chr7,105404567,105408742
5026,Cngb1,chr8,95239044,95306585
5027,Cngb3,chr4,19280849,19510623
5028,Cnih1,chr14,46775581,46788411
5029,Cnih2,chr19,5092870,5098418
5030,Cnih3,chr1,181352627,181460641
5031,Cnih4,chr1,181144692,181168994
5032,Cnksr1,chr4,134228040,134238399
5033,Cnksr2,chrX,157821435,158043294
5034,Cnksr3,chr10,7119062,7212237
5035,Cnn1,chr9,22099280,22109630
5036,Cnn2,chr10,79988583,79996062
5037,Cnn3,chr3,121426496,121458207
5038,Cnnm1,chr19,43440435,43497212
5039,Cnnm2,chr19,46761595,46878795
5040,Cnnm3,chr1,36511866,36528237
5041,Cnnm4,chr1,36471619,36508764
5042,Cnot1,chr8,95719450,95807462
5043,Cnot10,chr9,114585877,114640200
5044,Cnot11,chr1,39534991,39546889
5045,Cnot2,chr10,116485160,116581511
5046,Cnot3,chr7,3645267,3661109
5047,Cnot4,chr6,35022064,35133724
5048,Cnot6,chr11,49671502,49712723
5049,Cnot6l,chr5,96070332,96164171
5050,Cnot7,chr8,40492539,40515847
5051,Cnot8,chr11,58104152,58118594
5052,Cnp,chr11,100574903,100591729
5053,Cnppd1,chr1,75134553,75142711
5054,Cnpy1,chr5,28200818,28245806
5055,Cnpy2,chr10,128322458,128327187
5056,Cnpy3,chr17,46735704,46752214
5057,Cnpy4,chr5,138187484,138193918
5058,Cnr1,chr4,33924592,33948831
5059,Cnr2,chr4,135895393,135920207
5060,Cnrip1,chr11,17051585,17079371
5061,Cnst,chr1,179546369,179627478
5062,Cntd1,chr11,101279011,101296317
5063,Cntf,chr19,12763659,12765632
5064,Cntfr,chr4,41657497,41697089
5065,Cntln,chr4,84884308,85131921
5066,Cntn1,chr15,92051164,92341967
5067,Cntn2,chr1,132509426,132543256
5068,Cntn3,chr6,102162654,102573101
5069,Cntn4,chr6,105677659,106699310
5070,Cntn5,chr9,9660890,10904775
5071,Cntn6,chr6,104492789,104863406
5072,Cntnap1,chr11,101170522,101190724
5073,Cntnap2,chr6,45059356,47304213
5074,Cntnap4,chr8,112570042,112882717
5075,Cntnap5a,chr1,115684755,116587323
5076,Cntnap5b,chr1,99772764,100485942
5077,Cntnap5c,chr17,57769569,58410342
5078,Cntrl,chr2,35109491,35178822
5079,Cntrob,chr11,69299486,69323775
5080,Cntrobos,chr11,69294150,69295477
5081,Coa3,chr11,101277967,101279114
5082,Coa4,chr7,100537070,100540369
5083,Coa5,chr1,37417083,37430103
5084,Coa6,chr8,126422500,126425434
5085,Coa7,chr4,108328139,108341544
5086,Coasy,chr11,101082564,101086619
5087,Cobl,chr11,12236607,12464960
5088,Cobll1,chr2,65088338,65239403
5089,Coch,chr12,51593340,51605773
5090,Cog1,chr11,113649168,113667054
5091,Cog2,chr8,124520766,124552008
5092,Cog3,chr14,75702350,75754493
5093,Cog4,chr8,110846599,110882227
5094,Cog5,chr12,31654868,31937630
5095,Cog6,chr3,52981874,53017237
5096,Cog7,chr7,121879362,121981711
5097,Cog8,chr8,107046288,107056689
5098,Coil,chr11,88970251,88991613
5099,Col10a1,chr10,34389980,34397085
5100,Col11a1,chr3,114030539,114220718
5101,Col11a2,chr17,34039436,34066685
5102,Col12a1,chr9,79598990,79718831
5103,Col13a1,chr10,61838235,61979108
5104,Col14a1,chr15,55307749,55520803
5105,Col15a1,chr4,47208160,47313167
5106,Col16a1,chr4,130047839,130099283
5107,Col17a1,chr19,47646343,47692094
5108,Col18a1,chr10,77052177,77166548
5109,Col19a1,chr1,24261889,24587472
5110,Col1a1,chr11,94936223,94953042
5111,Col1a2,chr6,4504813,4541544
5112,Col20a1,chr2,180986534,181017540
5113,Col24a1,chr3,145292471,145552011
5114,Col25a1,chr3,130131500,130599877
5115,Col26a1,chr5,136741758,136883209
5116,Col27a1,chr4,63214003,63334991
5117,Col28a1,chr6,7997807,8192617
5118,Col2a1,chr15,97975601,98004695
5119,Col3a1,chr1,45311537,45349706
5120,Col4a1,chr8,11198422,11312826
5121,Col4a2,chr8,11312804,11449287
5122,Col4a3,chr1,82586920,82722059
5123,Col4a3bp,chr13,96542617,96640167
5124,Col4a4,chr1,82448422,82586849
5125,Col4a5,chrX,141475384,141689234
5126,Col4a6,chrX,141165402,141474076
5127,Col5a1,chr2,27886424,28039514
5128,Col5a2,chr1,45374320,45503282
5129,Col5a3,chr9,20770049,20815067
5130,Col6a1,chr10,76708791,76726168
5131,Col6a2,chr10,76595761,76623630
5132,Col6a3,chr1,90765922,90843971
5133,Col6a4,chr9,105989453,106096783
5134,Col6a5,chr9,105856069,105960643
5135,Col6a6,chr9,105687808,105828160
5136,Col7a1,chr9,108953585,108984875
5137,Col8a1,chr16,57624257,57754737
5138,Col8a2,chr4,126286792,126314330
5139,Col9a1,chr1,24177609,24252684
5140,Col9a2,chr4,121039384,121055322
5141,Col9a3,chr2,180597789,180622189
5142,Colec10,chr15,54410773,54466358
5143,Colec11,chr12,28594172,28623290
5144,Colec12,chr18,9707647,9877995
5145,Colgalt1,chr8,71611023,71624909
5146,Colgalt2,chr1,152399829,152510695
5147,Colq,chr14,31523081,31591343
5148,Commd1,chr11,22896135,22982382
5149,Commd10,chr18,46958861,47087992
5150,Commd2,chr3,57644348,57651715
5151,Commd3,chr2,18672383,18676231
5152,Commd4,chr9,57155040,57158299
5153,Commd5,chr15,76899909,76901305
5154,Commd6,chr14,101633765,101640686
5155,Commd7,chr2,153616932,153632781
5156,Commd8,chr5,72156574,72168189
5157,Commd9,chr2,101886246,101901646
5158,Comp,chr8,70373547,70382065
5159,Comt,chr16,18406885,18426852
5160,Comtd1,chr14,21845860,21848977
5161,Copa,chr1,172082528,172122330
5162,Copb1,chr7,114215558,114254711
5163,Copb2,chr9,98563720,98588382
5164,Cope,chr8,70302517,70312993
5165,Copg1,chr6,87887813,87913595
5166,Copg2,chr6,30747553,30896794
5167,Coprs,chr8,13884793,13890281
5168,Cops2,chr2,125830303,125859139
5169,Cops3,chr11,59817794,59839838
5170,Cops4,chr5,100518308,100547803
5171,Cops5,chr1,10024600,10038168
5172,Cops6,chr5,138161070,138164646
5173,Cops7a,chr6,124958412,124965538
5174,Cops7b,chr1,86582903,86609375
5175,Cops8,chr1,90602980,90613341
5176,Copz1,chr15,103272910,103299862
5177,Copz2,chr11,96849869,96861203
5178,Coq10b,chr1,55052769,55072702
5179,Coq2,chr5,100654722,100675140
5180,Coq3,chr4,21879672,21912162
5181,Coq4,chr2,29787492,29797935
5182,Coq5,chr5,115279665,115296972
5183,Coq6,chr12,84361656,84373796
5184,Coq7,chr7,118509658,118533356
5185,Coq9,chr8,94838320,94854895
5186,Corin,chr5,72300024,72504473
5187,Coro1a,chr7,126699772,126707787
5188,Coro1b,chr19,4148618,4154035
5189,Coro1c,chr5,113842435,113908758
5190,Coro2a,chr4,46536936,46602202
5191,Coro2b,chr9,62419491,62537044
5192,Coro6,chr11,77462410,77470484
5193,Coro7,chr16,4626132,4679777
5194,Cort,chr4,149125033,149126763
5195,Cotl1,chr8,119809224,119840579
5196,Cox10,chr11,63962626,64079468
5197,Cox11,chr11,90638172,90644931
5198,Cox14,chr15,99725617,99728136
5199,Cox15,chr19,43733253,43753000
5200,Cox16,chr12,81359025,81485127
5201,Cox17,chr16,38346990,38352763
5202,Cox18,chr5,90214723,90224001
5203,Cox19,chr5,139336188,139351418
5204,Cox20,chr1,178319129,178322693
5205,Cox4i1,chr8,120668221,120674207
5206,Cox4i2,chr2,152754172,152765037
5207,Cox5a,chr9,57521231,57532424
5208,Cox5b,chr1,36691483,36693681
5209,Cox6a1,chr5,115345641,115348981
5210,Cox6a2,chr7,128205434,128206387
5211,Cox6b1,chr7,30616860,30626151
5212,Cox6b2,chr7,4751791,4753094
5213,Cox6c,chr15,35925885,35938246
5214,Cox7a1,chr7,30184143,30186078
5215,Cox7a2,chr9,79755240,79759853
5216,Cox7a2l,chr17,83501918,83514333
5217,Cox7b,chrX,106015699,106022450
5218,Cox7b2,chr5,71442823,71548205
5219,Cox7c,chr13,86044815,86046904
5220,Cox8a,chr19,7215157,7217616
5221,Cox8b,chr7,140898944,140900446
5222,Cox8c,chr12,102899305,102900534
5223,Cp,chr3,19957053,20009145
5224,Cpa1,chr6,30639217,30645363
5225,Cpa2,chr6,30541581,30564476
5226,Cpa3,chr3,20215619,20242181
5227,Cpa4,chr6,30568368,30592418
5228,Cpa5,chr6,30611009,30631745
5229,Cpa6,chr1,10324719,10719945
5230,Cpb1,chr3,20248263,20275733
5231,Cpb2,chr14,75242286,75283551
5232,Cpd,chr11,76778423,76847018
5233,Cpe,chr8,64592541,64693054
5234,Cpeb1,chr7,81347025,81455465
5235,Cpeb3,chr19,37021290,37208601
5236,Cpeb4,chr11,31872210,31935634
5237,Cped1,chr6,21985915,22256404
5238,Cphx1,chr14,25938303,25956356
5239,Cphx2,chr14,26081515,26096127
5240,Cphx3,chr14,26082296,26235744
5241,Cplx1,chr5,108518553,108550024
5242,Cplx2,chr13,54371348,54383917
5243,Cplx3,chr9,57600018,57606281
5244,Cplx4,chr18,65955726,65970178
5245,Cpm,chr10,117629499,117687352
5246,Cpn1,chr19,43956306,43986556
5247,Cpn2,chr16,30256377,30267532
5248,Cpne1,chr2,156071841,156111965
5249,Cpne2,chr8,94532989,94570529
5250,Cpne3,chr4,19519253,19570108
5251,Cpne4,chr9,104547285,105034544
5252,Cpne5,chr17,29156549,29237797
5253,Cpne6,chr14,55510444,55517431
5254,Cpne7,chr8,123117373,123135182
5255,Cpne8,chr15,90487481,90679432
5256,Cpne9,chr6,113282306,113305627
5257,Cpox,chr16,58670207,58680391
5258,Cpped1,chr16,11803720,11909445
5259,Cpq,chr15,33083128,33594552
5260,Cps1,chr1,67123025,67231259
5261,Cpsf1,chr15,76595808,76607591
5262,Cpsf2,chr12,101975973,102005993
5263,Cpsf3,chr12,21286296,21315056
5264,Cpsf3l,chr4,155869545,155889103
5265,Cpsf4,chr5,145167212,145182041
5266,Cpsf4l,chr11,113698171,113710017
5267,Cpsf6,chr10,117344672,117380015
5268,Cpsf7,chr19,10525243,10547735
5269,Cpt1a,chr19,3323300,3385732
5270,Cpt1b,chr15,89416404,89425863
5271,Cpt1c,chr7,44959372,44974851
5272,Cpt2,chr4,107903980,107923610
5273,Cptp,chr4,155864722,155869440
5274,Cpvl,chr6,53873278,53978671
5275,Cpxcr1,chrX,116448943,116478783
5276,Cpxm1,chr2,130390774,130397574
5277,Cpxm2,chr7,132032686,132154739
5278,Cpz,chr5,35502217,35525698
5279,Cr1l,chr1,195097381,195131586
5280,Cr2,chr1,195136810,195176716
5281,Crabp1,chr9,54764747,54773110
5282,Crabp2,chr3,87948665,87953376
5283,Cracr2a,chr6,127561337,127630033
5284,Cracr2b,chr7,141461093,141466613
5285,Cradd,chr10,95174745,95324097
5286,Cramp1l,chr17,24961227,25015230
5287,Crat,chr2,30400470,30415813
5288,Crb1,chr1,139197055,139377100
5289,Crb3,chr17,57059104,57065918
5290,Crbn,chr6,106780200,106800077
5291,Crcp,chr5,130029289,130060789
5292,Crct1,chr3,93014204,93015687
5293,Creb1,chr1,64532644,64604548
5294,Creb3,chr4,43562331,43567060
5295,Creb3l1,chr2,91982327,92024502
5296,Creb3l2,chr6,37327254,37442146
5297,Creb3l3,chr10,81084323,81098874
5298,Creb3l4,chr3,90237499,90243512
5299,Crebbp,chr16,4081327,4213997
5300,Crebl2,chr6,134830153,134858931
5301,Crebrf,chr17,26715649,26776635
5302,Crebzf,chr7,90442728,90447994
5303,Creg1,chr1,165763745,165775308
5304,Creg2,chr1,39618405,39651474
5305,Creld1,chr6,113483296,113493343
5306,Creld2,chr15,88819645,88826681
5307,Crem,chr18,3266047,3337748
5308,Crh,chr3,19693400,19695396
5309,Crhbp,chr13,95431370,95444831
5310,Crhr1,chr11,104132854,104175523
5311,Crhr2,chr6,55090048,55133016
5312,Crim1,chr17,78200247,78376592
5313,Crip1,chr12,113146315,113153879
5314,Crip2,chr12,113140235,113145506
5315,Crip3,chr17,46428925,46431776
5316,Cript,chr17,87025549,87035810
5317,Crisp1,chr17,40293757,40319207
5318,Crisp2,chr17,40764733,40807003
5319,Crisp3,chr17,40221776,40242288
5320,Crisp4,chr1,18115190,18145902
5321,Crispld1,chr1,17727044,17766344
5322,Crispld2,chr8,119992437,120052793
5323,Crk,chr11,75679258,75706908
5324,Crkl,chr16,17451986,17486255
5325,Crlf1,chr8,70493157,70504081
5326,Crlf2,chr5,109554708,109558993
5327,Crlf3,chr11,80046492,80080991
5328,Crls1,chr2,132846665,132866785
5329,Crmp1,chr5,37241939,37292133
5330,Crnde,chr8,92326032,92356120
5331,Crnkl1,chr2,145917478,145935014
5332,Crocc,chr4,141016636,141060550
5333,Crot,chr5,8966032,8997324
5334,Crp,chr1,172698054,172833031
5335,Crtac1,chr19,42283036,42431783
5336,Crtam,chr9,40972752,41004628
5337,Crtap,chr9,114375133,114390675
5338,Crtc1,chr8,70382354,70439579
5339,Crtc2,chr3,90254162,90264125
5340,Crtc3,chr7,80586626,80688877
5341,Crx,chr7,15865946,15879968
5342,Crxos,chr7,15882616,15904020
5343,Cry1,chr10,85131701,85185054
5344,Cry2,chr2,92403645,92434043
5345,Cryaa,chr17,31677932,31681722
5346,Cryab,chr9,50752757,50756633
5347,Cryba1,chr11,77718614,77725283
5348,Cryba2,chr1,74889933,74893143
5349,Cryba4,chr5,112246492,112252518
5350,Crybb1,chr5,112255814,112269585
5351,Crybb2,chr5,113058257,113070117
